language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,vernacularName,nomenclaturalCode,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_102,Himantopus himantopus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus,species,Steltkluut,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_103,Hippolais icterina,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Hippolais,species,Spotvogel,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_104,Hippolais polyglotta,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Hippolais,species,Orpheusspotvogel,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_105,Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,species,Boerenzwaluw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_106,Ixobrychus minutus,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,species,Woudaap,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_107,Jynx torquilla,Animalia,Chordata,Aves,Piciformes,Picidae,Jynx,species,Draaihals,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_108,Lanius collurio,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,species,Grauwe klauwier,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_109,Lanius excubitor,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,species,Klapekster,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_11,Alauda arvensis,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda,species,Veldleeuwerik,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_110,Lanius senator,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,species,Roodkopklauwier,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_111,Larus cachinnans,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,species,Pontische meeuw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_112,Larus canus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,species,Stormmeeuw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_113,Larus fuscus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,species,Kleine mantelmeeuw,ICZN,accepted
